Date,OpenNatural,HighNatural,LowNatura,CloseNatural,VolumeNatural
2000-01-04,2.13,2.2,2.13,2.176,30152
2000-01-05,2.18,2.2,2.125,2.168,27946
2000-01-06,2.165,2.22,2.135,2.196,29071
2000-01-07,2.195,2.23,2.155,2.173,28455
2000-01-10,2.18,2.255,2.165,2.216,28916
2000-01-11,2.211,2.265,2.205,2.26,23405
2000-01-12,2.267,2.285,2.19,2.244,36868
2000-01-13,2.245,2.29,2.235,2.252,27091
2000-01-14,2.26,2.35,2.25,2.322,26286
2000-01-18,2.36,2.39,2.335,2.383,22929
2000-01-19,2.39,2.465,2.37,2.417,43606
2000-01-20,2.4,2.58,2.383,2.559,47336
2000-01-21,2.545,2.635,2.42,2.485,66778
2000-01-24,2.53,2.57,2.49,2.528,35075
2000-01-25,2.535,2.63,2.53,2.616,39248
2000-01-26,2.62,2.67,2.5,2.523,58710
2000-01-27,2.515,2.68,2.495,2.61,64058
2000-01-28,2.55,2.66,2.5,2.532,53887
2000-01-31,2.575,2.675,2.565,2.662,35135
2000-02-01,2.67,2.745,2.635,2.699,47920
2000-02-02,2.69,2.78,2.671,2.759,37894
2000-02-03,2.76,2.77,2.63,2.659,60182
2000-02-04,2.645,2.75,2.62,2.742,35993
2000-02-07,2.695,2.715,2.55,2.562,44070
2000-02-08,2.559,2.577,2.475,2.495,44117
2000-02-09,2.5,2.565,2.495,2.54,25880
2000-02-10,2.55,2.61,2.525,2.592,39109
2000-02-11,2.595,2.665,2.56,2.57,40559
2000-02-14,2.53,2.56,2.515,2.541,22225
2000-02-15,2.55,2.625,2.525,2.618,27696
2000-02-16,2.63,2.648,2.555,2.564,31347
2000-02-17,2.58,2.675,2.577,2.667,38410
2000-02-18,2.67,2.68,2.595,2.633,23741
2000-02-22,2.545,2.57,2.49,2.515,41496
2000-02-23,2.5,2.545,2.465,2.53,34702
2000-02-24,2.54,2.56,2.505,2.549,54653
2000-02-25,2.55,2.64,2.53,2.603,58729
2000-02-28,2.59,2.72,2.585,2.686,39089
2000-02-29,2.69,2.77,2.66,2.761,33119
2000-03-01,2.76,2.835,2.725,2.815,37095
2000-03-02,2.815,2.865,2.75,2.783,39442
2000-03-03,2.78,2.83,2.745,2.825,25930
2000-03-06,2.795,2.86,2.78,2.85,26701
2000-03-07,2.86,2.88,2.775,2.799,36586
2000-03-08,2.79,2.8,2.707,2.71,37539
2000-03-09,2.706,2.795,2.67,2.786,36896
2000-03-10,2.8,2.84,2.765,2.774,23377
2000-03-13,2.81,2.875,2.81,2.86,23675
2000-03-14,2.86,2.863,2.79,2.809,24505
2000-03-15,2.815,2.885,2.75,2.866,36163
2000-03-16,2.865,2.9,2.825,2.851,19761
2000-03-17,2.86,2.86,2.78,2.785,23683
2000-03-20,2.76,2.775,2.71,2.714,28704
2000-03-21,2.72,2.77,2.71,2.751,27733
2000-03-22,2.751,2.815,2.745,2.794,24711
2000-03-23,2.798,2.85,2.74,2.847,39084
2000-03-24,2.85,2.87,2.815,2.836,28636
2000-03-27,2.83,2.935,2.81,2.914,35228
2000-03-28,2.931,2.98,2.91,2.963,44390
2000-03-29,2.945,2.965,2.86,2.9,1523
2000-03-30,2.905,2.905,2.845,2.873,23612
2000-03-31,2.875,2.955,2.86,2.945,26950
2000-04-03,2.94,2.945,2.88,2.889,25524
2000-04-04,2.89,2.93,2.815,2.822,40475
2000-04-05,2.824,2.9,2.82,2.888,27098
2000-04-06,2.894,2.96,2.879,2.956,30439
2000-04-07,2.96,3.015,2.935,2.971,33081
2000-04-10,2.97,3.025,2.955,2.971,27910
2000-04-11,2.949,2.98,2.94,2.949,19336
2000-04-12,2.948,3.03,2.946,3.021,26267
2000-04-13,3.025,3.105,3.025,3.087,32994
2000-04-14,3.084,3.1,3.05,3.078,17981
2000-04-17,3.11,3.175,3.11,3.158,2167
2000-04-18,3.164,3.165,3.065,3.098,42116
2000-04-19,3.095,3.145,3.05,3.055,38424
2000-04-20,3.055,3.085,3.045,3.073,25075
2000-04-24,3.11,3.15,3.11,3.137,30626
2000-04-25,3.145,3.16,3.085,3.11,49219
2000-04-26,3.11,3.13,3.075,3.089,47607
2000-04-27,3.085,3.089,3.04,3.055,18916
2000-04-28,3.06,3.165,3.055,3.141,29766
2000-05-01,3.175,3.235,3.165,3.216,29045
2000-05-02,3.215,3.24,3.165,3.217,31498
2000-05-03,3.22,3.235,3.125,3.126,37237
2000-05-04,3.12,3.124,3.05,3.107,34089
2000-05-05,3.115,3.135,3.01,3.025,29210
2000-05-08,3.065,3.18,3.05,3.17,40409
2000-05-09,3.168,3.23,3.165,3.183,32905
2000-05-10,3.18,3.325,3.15,3.317,42301
2000-05-11,3.32,3.385,3.31,3.352,37923
2000-05-12,3.352,3.369,3.31,3.354,24996
2000-05-15,3.33,3.42,3.315,3.396,30374
2000-05-16,3.395,3.475,3.393,3.448,36028
2000-05-17,3.453,3.73,3.438,3.689,44684
2000-05-18,3.696,3.74,3.625,3.71,34467
2000-05-19,3.706,3.84,3.706,3.825,31552
2000-05-22,3.94,3.985,3.72,3.747,58665
2000-05-23,3.745,3.825,3.74,3.814,36813
2000-05-24,3.829,4.1,3.829,4.073,47335
2000-05-25,4.1,4.25,4.08,4.236,71672
2000-05-26,4.215,4.5,4.23,4.406,55257
2000-05-30,4.32,4.36,4.23,4.354,32798
2000-05-31,4.379,4.555,4.345,4.356,50313
2000-06-01,4.349,4.37,3.8,4.064,72332
2000-06-02,4.07,4.16,3.93,4.043,40198
2000-06-05,4.08,4.41,4.05,4.398,30978
2000-06-06,4.4,4.575,4.245,4.294,250
2000-06-07,4.3,4.335,3.93,3.945,54736
2000-06-08,3.95,4.17,3.83,4.133,48539
2000-06-09,4.15,4.24,4.06,4.16,27622
2000-06-12,4.18,4.27,4.09,4.212,27545
2000-06-13,4.23,4.265,4.115,4.158,34672
2000-06-14,4.161,4.315,4.09,4.256,39409
2000-06-15,4.277,4.48,4.27,4.463,42615
2000-06-16,4.461,4.58,4.415,4.488,40892
2000-06-19,4.45,4.45,4.05,4.063,55737
2000-06-20,4.06,4.22,3.96,4.107,55167
2000-06-21,4.12,4.39,4.095,4.378,43608
2000-06-22,4.38,4.59,4.335,4.551,61170
2000-06-23,4.535,4.55,4.395,4.448,31328
2000-06-26,4.34,4.57,4.31,4.56,50777
2000-06-27,4.549,4.715,4.535,4.686,66476
2000-06-28,4.615,4.64,4.3,4.369,69060
2000-06-29,4.407,4.47,4.22,4.423,39601
2000-06-30,4.45,4.49,4.391,4.476,742
2000-07-05,4.27,4.28,4.07,4.109,40603
2000-07-06,4.081,4.2,3.98,4.066,42288
2000-07-07,4.08,4.31,3.97,4.262,37737
2000-07-10,4.19,4.295,4.17,4.228,25682
2000-07-11,4.216,4.28,4.0,4.257,28743
2000-07-12,4.24,4.36,3.91,4.031,53400
2000-07-13,4.01,4.195,3.985,4.166,35316
2000-07-14,4.16,4.23,4.131,4.15,25646
2000-07-17,4.135,4.135,3.99,4.002,26837
2000-07-18,3.98,4.12,3.92,4.044,37177
2000-07-19,4.035,4.095,3.87,3.884,36784
2000-07-20,3.87,3.885,3.79,3.86,31883
2000-07-21,3.855,3.93,3.82,3.834,26270
2000-07-24,3.75,3.78,3.695,3.715,27892
2000-07-25,3.705,3.705,3.64,3.66,34038
2000-07-26,3.66,3.85,3.61,3.763,58600
2000-07-27,3.763,3.87,3.76,3.82,55143
2000-07-28,3.855,3.985,3.84,3.845,28840
2000-07-31,3.8,3.839,3.77,3.774,17941
2000-08-01,3.77,4.03,3.76,3.987,38477
2000-08-02,3.999,4.22,3.99,4.214,40508
2000-08-03,4.22,4.29,4.18,4.25,29355
2000-08-04,4.24,4.39,4.185,4.296,33869
2000-08-07,4.38,4.43,4.345,4.348,25597
2000-08-08,4.33,4.48,4.32,4.409,23686
2000-08-09,4.44,4.565,4.39,4.419,34588
2000-08-10,4.45,4.475,4.36,4.468,31616
2000-08-11,4.475,4.52,4.395,4.475,17128
2000-08-14,4.435,4.445,4.305,4.318,28952
2000-08-15,4.333,4.345,4.21,4.234,25060
2000-08-16,4.22,4.435,4.2,4.413,34488
2000-08-17,4.42,4.48,4.38,4.406,24476
2000-08-18,4.39,4.465,4.38,4.436,15531
2000-08-21,4.53,4.76,4.53,4.747,34230
2000-08-22,4.75,4.85,4.5,4.52,49404
2000-08-23,4.534,4.79,4.511,4.605,38716
2000-08-24,4.586,4.625,4.41,4.54,27915
2000-08-25,4.545,4.663,4.53,4.628,24797
2000-08-28,4.61,4.775,4.57,4.685,49138
2000-08-29,4.7,4.729,4.57,4.618,49936
2000-08-30,4.64,4.81,4.585,4.801,34954
2000-08-31,4.811,4.865,4.74,4.782,25787
2000-09-01,4.78,4.86,4.741,4.835,113
2000-09-05,4.85,4.975,4.84,4.95,26096
2000-09-06,4.955,5.1,4.955,5.071,32764
2000-09-07,5.069,5.07,4.89,4.998,38100
2000-09-08,5.007,5.025,4.845,4.88,33310
2000-09-11,4.825,5.095,4.825,5.011,40097
2000-09-12,5.015,5.07,4.96,5.008,36076
2000-09-13,5.03,5.17,4.92,5.055,47053
2000-09-14,5.08,5.223,5.08,5.195,35201
2000-09-15,5.205,5.34,5.17,5.206,36629
2000-09-18,5.111,5.31,4.93,5.295,36605
2000-09-19,5.3,5.385,5.23,5.363,39144
2000-09-20,5.381,5.41,5.26,5.318,36654
2000-09-21,5.295,5.33,5.21,5.287,31859
2000-09-22,5.23,5.32,5.105,5.131,45414
2000-09-25,5.135,5.305,5.075,5.276,44157
2000-09-26,5.285,5.445,5.28,5.324,67957
2000-09-27,5.339,5.425,5.28,5.312,52423
2000-09-28,5.445,5.479,5.1,5.124,43663
2000-09-29,5.14,5.32,5.13,5.186,28723
2000-10-02,5.325,5.365,5.26,5.352,28278
2000-10-03,5.36,5.38,5.28,5.348,25577
2000-10-04,5.335,5.34,5.15,5.29,34750
2000-10-05,5.27,5.335,5.05,5.152,47400
2000-10-06,5.13,5.159,4.98,5.008,33821
2000-10-09,5.0,5.165,4.995,5.15,24637
2000-10-10,5.16,5.18,5.1,5.134,23193
2000-10-11,5.14,5.53,5.11,5.508,52190
2000-10-12,5.51,5.78,5.475,5.63,39905
2000-10-13,5.63,5.63,5.49,5.537,24524
2000-10-16,5.45,5.501,5.355,5.364,25927
2000-10-17,5.352,5.46,5.332,5.439,31515
2000-10-18,5.44,5.52,5.2,5.228,37825
2000-10-19,5.193,5.22,4.92,4.951,54408
2000-10-20,4.945,5.005,4.87,4.937,27863
2000-10-23,4.92,5.115,4.86,5.072,33460
2000-10-24,5.08,5.08,4.77,4.82,39130
2000-10-25,4.835,4.848,4.62,4.659,37428
2000-10-26,4.655,4.745,4.64,4.664,43040
2000-10-27,4.65,4.681,4.5,4.541,51911
2000-10-30,4.7,4.76,4.46,4.485,48646
2000-10-31,4.5,4.58,4.38,4.49,41474
2000-11-01,4.53,4.75,4.521,4.686,46311
2000-11-02,4.702,4.85,4.64,4.76,39520
2000-11-03,4.733,4.97,4.7,4.931,34096
2000-11-06,4.975,5.01,4.8,4.849,30905
2000-11-07,4.86,5.1,4.86,5.081,36844
2000-11-08,5.14,5.44,5.14,5.338,52606
2000-11-09,5.39,5.55,5.3,5.445,45285
2000-11-10,5.44,5.525,5.345,5.456,36278
2000-11-13,5.565,5.74,5.565,5.698,40117
2000-11-14,5.69,6.025,5.651,6.016,51820
2000-11-15,5.986,6.315,5.915,6.265,56113
2000-11-16,6.2,6.285,5.785,5.798,57983
2000-11-17,5.75,6.14,5.555,6.1,54986
2000-11-20,6.201,6.395,6.15,6.249,36286
2000-11-21,6.189,6.51,6.135,6.408,42970
2000-11-22,6.4,6.62,6.3,6.577,31692
2000-11-27,6.375,6.58,6.255,6.368,49815
2000-11-28,6.32,6.34,5.9,6.016,61040
2000-11-29,6.139,6.5,6.05,6.181,41391
2000-11-30,6.15,6.73,6.122,6.589,42208
2000-12-01,6.579,6.83,6.51,6.673,37180
2000-12-04,7.055,7.95,6.977,7.433,36594
2000-12-05,7.59,7.95,7.225,7.384,35278
2000-12-06,7.5,8.8,7.47,8.485,27613
2000-12-07,8.61,9.539,8.135,8.373,22797
2000-12-08,8.375,8.7,7.96,8.584,20167
2000-12-11,9.35,9.86,9.2,9.413,17827
2000-12-12,9.49,9.6,8.01,8.145,22760
2000-12-13,8.01,8.35,7.5,7.537,26358
2000-12-14,7.5,7.85,7.221,7.413,18893
2000-12-15,7.47,8.55,7.47,8.396,19198
2000-12-18,8.96,9.245,8.4,8.527,18872
2000-12-19,8.69,9.13,8.41,9.102,14489
2000-12-20,9.119,9.75,9.1,9.326,21300
2000-12-21,9.36,9.9,9.34,9.83,17374
2000-12-22,9.88,9.88,9.4,9.579,13551
2000-12-26,9.85,9.95,9.5,9.805,21977
2000-12-27,9.779,10.1,9.4,9.978,38953
2000-12-28,9.1,9.45,8.8,9.263,10329
2000-12-29,9.19,9.925,9.15,9.775,7870
2001-01-02,9.45,9.45,8.25,8.364,13754
2001-01-03,8.3,8.7,8.11,8.189,18106
2001-01-04,9.03,9.2,9.0,8.966,20678
2001-01-05,9.03,9.35,8.9,9.261,21118
2001-01-08,9.605,9.87,9.48,9.689,16344
2001-01-09,9.75,9.87,9.46,9.819,18730
2001-01-10,9.82,9.916,9.01,9.128,22694
2001-01-11,9.12,9.225,8.6,8.708,21258
2001-01-12,8.665,9.01,8.205,8.472,20673
2001-01-16,8.45,8.45,7.94,8.103,20122
2001-01-17,8.06,8.09,6.8,6.909,28581
2001-01-18,6.89,7.22,6.83,7.136,18752
2001-01-19,7.18,7.62,7.15,7.459,19158
2001-01-22,7.85,7.93,7.41,7.457,15666
2001-01-23,7.363,7.43,6.9,6.946,21176
2001-01-24,6.97,7.2,6.78,7.115,24393
2001-01-25,7.17,7.5,7.14,7.27,22261
2001-01-26,7.3,7.3,7.0,7.256,33333
2001-01-29,7.105,7.49,6.1,6.293,39485
2001-01-30,6.11,6.32,5.83,6.097,27868
2001-01-31,6.058,6.25,5.65,5.707,29444
2001-02-01,5.7,6.42,5.615,6.38,30314
2001-02-02,6.4,7.1,6.4,6.743,29891
2001-02-05,6.2,6.325,5.67,5.706,24825
2001-02-06,5.69,5.88,5.62,5.764,22045
2001-02-07,5.79,6.26,5.64,6.235,25839
2001-02-08,6.355,6.7,6.06,6.158,28652
2001-02-09,6.19,6.32,6.101,6.21,14151
2001-02-12,6.08,6.13,5.73,5.821,16222
2001-02-13,5.79,6.05,5.68,6.019,24435
2001-02-14,6.02,6.09,5.47,5.518,31601
2001-02-15,5.52,5.61,5.43,5.594,23229
2001-02-16,5.594,5.69,5.45,5.568,19695
2001-02-20,5.318,5.42,5.27,5.278,18588
2001-02-21,5.28,5.37,5.07,5.146,27447
2001-02-22,5.15,5.22,5.11,5.142,21780
2001-02-23,5.14,5.21,5.09,5.131,30535
2001-02-26,5.131,5.19,4.95,4.998,40078
2001-02-27,5.11,5.325,5.06,5.279,27014
2001-02-28,5.31,5.385,5.17,5.236,26912
2001-03-01,5.204,5.34,5.13,5.186,15074
2001-03-02,5.18,5.29,5.18,5.27,10916
2001-03-05,5.355,5.45,5.33,5.336,15055
2001-03-06,5.355,5.38,5.271,5.315,9163
2001-03-07,5.32,5.375,5.18,5.35,27478
2001-03-08,5.345,5.394,5.28,5.285,14399
2001-03-09,5.27,5.285,5.06,5.072,27723
2001-03-12,5.044,5.17,4.975,5.159,23345
2001-03-13,5.164,5.19,4.93,5.006,28644
2001-03-14,5.01,5.095,4.9,4.911,23902
2001-03-15,4.9,4.98,4.87,4.927,21063
2001-03-16,4.96,5.06,4.925,5.035,15100
2001-03-19,5.11,5.158,5.0,5.063,18563
2001-03-20,5.105,5.34,5.09,5.287,34714
2001-03-21,5.28,5.29,5.03,5.041,28573
2001-03-22,5.02,5.22,5.01,5.212,24082
2001-03-23,5.2,5.31,5.19,5.273,23108
2001-03-26,5.22,5.33,5.16,5.322,23087
2001-03-27,5.32,5.63,5.32,5.621,27725
2001-03-28,5.62,5.74,5.31,5.384,34612
2001-03-29,5.39,5.45,5.25,5.274,26739
2001-03-30,5.27,5.4,5.01,5.025,40202
2001-04-02,4.985,5.14,4.92,5.103,27501
2001-04-03,5.1,5.21,5.07,5.115,22244
2001-04-04,5.14,5.3,5.1,5.182,24682
2001-04-05,5.24,5.48,5.175,5.422,35030
2001-04-06,5.49,5.49,5.33,5.388,22953
2001-04-09,5.475,5.565,5.365,5.477,23204
2001-04-10,5.49,5.62,5.482,5.559,22196
2001-04-11,5.56,5.56,5.38,5.385,28619
2001-04-12,5.374,5.42,5.3,5.381,18115
