Date,OpenHeating,HighHeating,LowHeating,CloseHeating,VolumeHeating
2000-01-04,0.672,0.683,0.654,0.6778,25311
2000-01-05,0.679,0.679,0.665,0.6655,18691
2000-01-06,0.6645,0.683,0.655,0.6628,27082
2000-01-07,0.66,0.671,0.646,0.6475,26320
2000-01-10,0.6445,0.6535,0.6355,0.6472,20721
2000-01-11,0.6476,0.668,0.6475,0.6675,19141
2000-01-12,0.6675,0.69,0.6535,0.6847,25404
2000-01-13,0.6847,0.7,0.678,0.6928,1454
2000-01-14,0.6915,0.74,0.6915,0.7381,22274
2000-01-18,0.734,0.773,0.734,0.7704,28816
2000-01-19,0.7675,0.803,0.762,0.8003,25410
2000-01-20,0.7928,0.869,0.79,0.8646,31617
2000-01-21,0.865,0.9774,0.86,0.935,32423
2000-01-24,0.91,0.96,0.83,0.8635,23938
2000-01-25,0.85,0.9175,0.85,0.9038,18389
2000-01-26,0.922,0.96,0.9138,0.9213,17085
2000-01-27,0.916,0.939,0.88,0.9117,14303
2000-01-28,0.9125,0.93,0.9,0.9251,17227
2000-01-31,0.9175,1.0,0.89,0.952,27003
2000-02-01,0.742,0.773,0.742,0.7719,22652
2000-02-02,0.7725,0.787,0.748,0.7553,26383
2000-02-03,0.757,0.792,0.755,0.779,24733
2000-02-04,0.781,0.797,0.769,0.7878,20181
2000-02-07,0.7865,0.7865,0.755,0.7581,22995
2000-02-08,0.7555,0.759,0.726,0.7284,29153
2000-02-09,0.7284,0.752,0.725,0.746,22674
2000-02-10,0.746,0.752,0.732,0.7446,20636
2000-02-11,0.745,0.755,0.73,0.7424,18494
2000-02-14,0.7424,0.758,0.74,0.757,15021
2000-02-15,0.758,0.762,0.745,0.752,14355
2000-02-16,0.7515,0.765,0.742,0.7621,16725
2000-02-17,0.762,0.7621,0.74,0.7506,13985
2000-02-18,0.752,0.7585,0.744,0.7545,12076
2000-02-22,0.748,0.753,0.7325,0.7487,16193
2000-02-23,0.747,0.763,0.741,0.7613,17083
2000-02-24,0.7625,0.781,0.759,0.7802,18516
2000-02-25,0.7795,0.835,0.775,0.8288,18768
2000-02-28,0.82,0.83,0.8025,0.8167,25719
2000-02-29,0.8165,0.85,0.805,0.8246,23653
2000-03-01,0.7675,0.7995,0.7585,0.7967,12058
2000-03-02,0.795,0.807,0.78,0.7946,11722
2000-03-03,0.795,0.8025,0.7785,0.7889,12353
2000-03-06,0.7825,0.8,0.781,0.7945,11812
2000-03-07,0.7945,0.826,0.7945,0.8238,16189
2000-03-08,0.817,0.825,0.7475,0.7531,21964
2000-03-09,0.755,0.771,0.7325,0.7646,19930
2000-03-10,0.767,0.767,0.745,0.7454,12703
2000-03-13,0.742,0.761,0.741,0.7545,10194
2000-03-14,0.754,0.7575,0.734,0.7368,14815
2000-03-15,0.741,0.7475,0.711,0.7171,13615
2000-03-16,0.7145,0.728,0.7,0.7203,14225
2000-03-17,0.725,0.7285,0.715,0.7172,11283
2000-03-20,0.716,0.717,0.679,0.6808,3197
2000-03-21,0.6805,0.6925,0.679,0.6876,10575
2000-03-22,0.682,0.7225,0.68,0.6967,14475
2000-03-23,0.697,0.716,0.693,0.7121,10622
2000-03-24,0.706,0.756,0.706,0.7487,12184
2000-03-27,0.739,0.75,0.73,0.7373,13408
