Date,OpenBrent,HighBrent,LowBrent,CloseBrent,VolumeBrent,OpenCrude,HighCrude,LowCrude,CloseCrude,VolumeCrude,OpenHeating,HighHeating,LowHeating,CloseHeating,VolumeHeating,OpenNatural,HighNatural,LowNatura,CloseNatural,VolumeNatural
2000-01-04,23.9,24.7,23.89,24.39,32509,25.2,25.69,24.71,25.55,74788,0.672,0.683,0.654,0.6778,25311,2.13,2.2,2.13,2.176,30152
2000-01-05,24.25,24.37,23.7,23.73,30310,25.5,25.61,24.87,24.91,70944,0.679,0.679,0.665,0.6655,18691,2.18,2.2,2.125,2.168,27946
2000-01-06,23.55,24.22,23.35,23.62,44662,24.8,25.34,24.51,24.78,85252,0.6645,0.683,0.655,0.6628,27082,2.165,2.22,2.135,2.196,29071
2000-01-07,23.57,23.98,23.05,23.09,34826,24.65,25.0,24.15,24.22,91828,0.66,0.671,0.646,0.6475,26320,2.195,2.23,2.155,2.173,28455
2000-01-10,23.04,23.78,23.04,23.73,26388,24.22,24.75,24.02,24.67,68901,0.6445,0.6535,0.6355,0.6472,20721,2.18,2.255,2.165,2.216,28916
2000-01-11,23.9,24.67,23.83,24.62,17410,24.71,25.8,24.67,25.77,106490,0.6476,0.668,0.6475,0.6675,19141,2.211,2.265,2.205,2.26,23405
2000-01-12,24.35,25.1,23.97,24.81,28455,25.73,26.55,25.38,26.28,93757,0.6675,0.69,0.6535,0.6847,25404,2.267,2.285,2.19,2.244,36868
2000-01-13,24.84,25.25,24.7,24.98,22307,26.28,27.12,26.2,26.69,90217,0.6847,0.7,0.678,0.6928,1454,2.245,2.29,2.235,2.252,27091
2000-01-14,24.98,25.56,24.98,25.47,8822,26.8,28.1,26.61,28.02,68806,0.6915,0.74,0.6915,0.7381,22274,2.26,2.35,2.25,2.322,26286
2000-01-18,25.95,26.13,25.62,26.05,39950,28.03,29.0,27.96,28.85,65196,0.734,0.773,0.734,0.7704,28816,2.36,2.39,2.335,2.383,22929
2000-01-19,26.3,26.3,25.65,25.84,38024,28.8,29.68,28.55,29.54,69987,0.7675,0.803,0.762,0.8003,25410,2.39,2.465,2.37,2.417,43606
2000-01-20,25.98,26.43,25.63,26.1,47963,29.4,29.95,28.8,29.66,57715,0.7928,0.869,0.79,0.8646,31617,2.4,2.58,2.383,2.559,47336
2000-01-21,26.55,27.11,25.9,26.35,46271,27.85,29.1,27.7,28.2,90972,0.865,0.9774,0.86,0.935,32423,2.545,2.635,2.42,2.485,66778
2000-01-24,26.68,26.85,25.88,26.06,37451,28.23,28.69,27.51,27.83,57640,0.91,0.96,0.83,0.8635,23938,2.53,2.57,2.49,2.528,35075
2000-01-25,25.88,26.65,25.58,26.54,39688,27.78,28.55,27.35,28.28,54486,0.85,0.9175,0.85,0.9038,18389,2.535,2.63,2.53,2.616,39248
2000-01-26,26.9,26.95,26.05,26.13,37181,28.29,28.77,27.8,27.84,67173,0.922,0.96,0.9138,0.9213,17085,2.62,2.67,2.5,2.523,58710
2000-01-27,25.9,26.38,25.45,25.62,34844,27.78,28.1,27.19,27.32,89124,0.916,0.939,0.88,0.9117,14303,2.515,2.68,2.495,2.61,64058
2000-01-28,25.45,25.92,25.38,25.68,22226,27.22,27.55,26.95,27.22,67368,0.9125,0.93,0.9,0.9251,17227,2.55,2.66,2.5,2.532,53887
2000-01-31,25.4,26.19,25.21,25.97,38608,27.1,27.9,26.7,27.64,81841,0.9175,1.0,0.89,0.952,27003,2.575,2.675,2.565,2.662,35135
2000-02-01,26.1,26.6,26.08,26.39,40355,27.6,28.4,27.6,28.22,76405,0.742,0.773,0.742,0.7719,22652,2.67,2.745,2.635,2.699,47920
2000-02-02,26.62,26.82,25.82,25.93,45900,28.22,28.65,27.45,27.55,97352,0.7725,0.787,0.748,0.7553,26383,2.69,2.78,2.671,2.759,37894
2000-02-03,26.12,26.69,26.07,26.66,30382,27.56,28.4,27.41,28.03,77935,0.757,0.792,0.755,0.779,24733,2.76,2.77,2.63,2.659,60182
2000-02-04,26.65,27.1,26.2,27.07,30382,28.17,28.87,27.75,28.82,67033,0.781,0.797,0.769,0.7878,20181,2.645,2.75,2.62,2.742,35993
2000-02-07,26.85,27.05,26.67,26.88,20018,28.71,28.9,28.25,28.45,60114,0.7865,0.7865,0.755,0.7581,22995,2.695,2.715,2.55,2.562,44070
2000-02-08,26.73,26.86,26.32,26.37,29000,28.44,28.49,27.91,28.02,66132,0.7555,0.759,0.726,0.7284,29153,2.559,2.577,2.475,2.495,44117
2000-02-09,26.45,26.99,26.06,26.92,32440,28.0,28.84,27.71,28.77,86908,0.7284,0.752,0.725,0.746,22674,2.5,2.565,2.495,2.54,25880
2000-02-10,26.75,27.62,26.75,27.48,34468,28.6,29.5,28.6,29.43,75868,0.746,0.752,0.732,0.7446,20636,2.55,2.61,2.525,2.592,39109
2000-02-11,27.5,28.2,27.45,27.82,32911,29.42,29.94,29.02,29.44,76425,0.745,0.755,0.73,0.7424,18494,2.595,2.665,2.56,2.57,40559
2000-02-14,27.85,28.78,27.82,28.76,13056,29.44,30.3,29.35,30.25,58300,0.7424,0.758,0.74,0.757,15021,2.53,2.56,2.515,2.541,22225
2000-02-15,27.2,27.48,26.98,27.13,32353,30.28,30.45,29.8,30.06,56968,0.758,0.762,0.745,0.752,14355,2.55,2.625,2.525,2.618,27696
2000-02-16,27.15,27.47,26.9,27.37,28329,30.02,30.24,29.35,30.05,85800,0.7515,0.765,0.742,0.7621,16725,2.63,2.648,2.555,2.564,31347
2000-02-17,27.15,27.16,26.55,26.67,30104,30.04,30.05,29.05,29.46,51547,0.762,0.7621,0.74,0.7506,13985,2.58,2.675,2.577,2.667,38410
2000-02-18,26.65,26.77,26.2,26.22,21416,29.41,29.6,29.05,29.51,36481,0.752,0.7585,0.744,0.7545,12076,2.67,2.68,2.595,2.633,23741
